discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,country_name,country_code,country_3_letter_code,index_code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,italy,IT,ITA,Curlingbeijing-2022MixedGOLDItaly
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,norway,NO,NOR,Curlingbeijing-2022MixedSILVERNorway
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,sweden,SE,SWE,Curlingbeijing-2022MixedBRONZESweden
Curling,beijing-2022,Women,Women,GOLD,GameTeam,united kingdom,GB,GBR,Curlingbeijing-2022WomenGOLDGreat Britain
Curling,beijing-2022,Women,Women,SILVER,GameTeam,japan,JP,JPN,Curlingbeijing-2022WomenSILVERJapan
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,sweden,SE,SWE,Curlingbeijing-2022WomenBRONZESweden
Curling,beijing-2022,Men,Men,GOLD,GameTeam,sweden,SE,SWE,Curlingbeijing-2022MenGOLDSweden
Curling,beijing-2022,Men,Men,SILVER,GameTeam,united kingdom,GB,GBR,Curlingbeijing-2022MenSILVERGreat Britain
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,canada,CA,CAN,Curlingbeijing-2022MenBRONZECanada
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,canada,CA,CAN,Freestyle Skiingbeijing-2022MenSILVERCanada
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,sweden,SE,SWE,Freestyle Skiingbeijing-2022MenGOLDSweden
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,japan,JP,JPN,Freestyle Skiingbeijing-2022MenBRONZEJapan
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,new zealand,NZ,NZL,Freestyle Skiingbeijing-2022MenGOLDNew Zealand
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,united states,US,USA,Freestyle Skiingbeijing-2022MenSILVERUnited States of America
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,united states,US,USA,Freestyle Skiingbeijing-2022MenBRONZEUnited States of America
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,sweden,SE,SWE,Freestyle Skiingbeijing-2022MenBRONZESweden
